"id";"nama";"id_kota";"created_at";"updated_at"
"181";"DABUN GELANG (DEBUN GELANG)";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"182";"BADAR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"183";"RUNDENG";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"184";"BAITUSSALAM";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"185";"KETOL";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"186";"LAWE BULAN";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"187";"SUSOH";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"188";"BANDAR";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"189";"KOTA COT GLIE (KUTA COT GLIE)";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"190";"MUTIARA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"191";"INDRAJAYA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"192";"PEULIMBANG (PLIMBANG)";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"193";"GLUMPANG BARO";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"194";"KUALA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"195";"PEUKAN BARO";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"196";"MEUREUBO";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"197";"SEKERAK";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"198";"SAKTI";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"199";"BANDA SAKTI";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"200";"KUTA ALAM";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"201";"WIH PESAM";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"202";"TIMANG GAJAH";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"203";"DEWANTARA";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"204";"GEUMPANG";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"205";"LONGKIB";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"206";"KLUET SELATAN";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"207";"MEURAH MULIA";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"208";"LHOONG";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"209";"GRONG GRONG";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"210";"LABUHAN HAJI BARAT";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"211";"MUARA TIGA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"212";"BENER KELIPAH";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"213";"LUENG BATA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"214";"LAWE ALAS";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"215";"MUARA SATU";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"216";"SIMPANG JERNIH";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"217";"SULTAN DAULAT";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"218";"DARUL IMARAH";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"219";"KUTA PANJANG";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"220";"KOTA SIGLI";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"221";"LAWE SUMUR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"222";"JAGONG JEGET";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"223";"TERANGUN (TERANGON)";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"224";"DELENG POKHISEN";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"225";"MESJID RAYA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"226";"MEUREUDU";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"227";"MEURAH DUA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"228";"SAMUDERA";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"229";"DARUL KAMAL";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"230";"KOTA JUANG";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"231";"DANAU PARIS";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"232";"JAYA BARU";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"233";"SEUNAGAN TIMUR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"234";"JOHAN PAHLAWAN";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"235";"PEUSANGAN SELATAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"236";"MANE";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"237";"SAWANG";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"238";"SIMPANG TIGA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"239";"BAKTIYA BARAT";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"240";"SYIAH UTAMA";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"241";"BANDA ALAM";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"242";"TIRO / TRUSEB";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"243";"GUNUNG MERIAH (MARIAH)";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"244";"BLANK BINTANG";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"245";"KOTA MALAKA (KUTA MALAKA)";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"246";"JANGKA BUYA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"247";"KEBAYAKAN";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"248";"LAWE SIGALA-GALA";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"249";"KOTA KUALA SIMPANG";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"250";"DELIMA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"251";"TRIENGGADENG";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"252";"SIMPANG KIRI";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"253";"DARUL HASANAH";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"254";"TERIPE / TRIPE JAYA";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"255";"KOTA BAHARU";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"256";"PENANGGALAN";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"257";"ULEE KARENG";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"258";"SIMPANG KANAN";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"259";"BABUL MAKMUR";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"260";"LEMBAH SABIL";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"261";"TRUMON TENGAH";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"262";"MUARA BATU";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"263";"BAKONGAN";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"264";"LEUPUNG";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"265";"SIMEULEU TENGAH";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"266";"SUNGAI MAS";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"267";"PINING (PINDING)";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"268";"NISAM ANTARA";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"269";"SETIA BAKTI";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"270";"KUTA RAJA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"271";"BANDA RAYA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"272";"LAPANG";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"273";"KRUENG BARONA JAYA";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"274";"SINGKIL UTARA";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"275";"PUTRI BETUNG";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"276";"PANTERAJA";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"277";"TRUMON";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"278";"PASIE RAJA";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"279";"BAKONGAN TIMUR";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"280";"SEMADAM";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"281";"KUALA BARU";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"282";"IDI TIMUR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"283";"SINGKIL";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"284";"LANGSA BARAT";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"285";"SINGKOHOR";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"286";"ALAPAN (ALAFAN)";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"287";"LEMBAH SEULAWAH";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"288";"PULAU BANYAK";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"289";"TENGGULUN";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"290";"PULAU-PULAU BATU TIMUR";"24";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"291";"PANYABUNGAN KOTA";"25";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"292";"SIEMPAT NEMPU";"26";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"293";"AEK NATAS";"27";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"294";"ADIAN KOTING";"28";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"295";"BOSAR MALIGAS";"29";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"296";"SALAPIAN";"30";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"297";"PERBAUNGAN";"31";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"298";"SAYUR MATINGGI";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"299";"AEK SONGSONGAN";"33";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"300";"AEK LEDONG";"33";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"301";"PADANG BOLAK JULU";"34";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"302";"SOSOPAN";"35";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"303";"SIPIROK";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
